Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
166,94.59857163328887,92.92481621468305,96.05036234919666,93.3948012770171
167,94.60153186765432,92.94189807243782,96.05616620049979,93.39657432179177
168,94.62758311826823,92.98848324377572,96.05938021695182,93.39996187403895
169,94.63321252546667,93.00988049895922,96.06128613580364,93.40213115367294
170,94.64990913487837,93.0414388589431,96.06742187561173,93.40561419337102
171,94.66879938776817,93.04326561913972,96.0729164616935,93.40885245710287
172,94.67572564184051,93.06467133134107,96.0786192278961,93.40997538295507
173,94.67861034572047,93.0765914908083,96.08234825638793,93.4119051948535
174,94.68832440541733,93.0953880174294,96.08670216617462,93.41298330732187
175,94.69337086216659,93.10150777923498,96.09395010249851,93.41432149198351
176,94.70850678396663,93.14317949733744,96.09637417843925,93.4154129932436
177,94.7133978165899,93.14595201560807,96.09980344832167,93.4160060364198
178,94.7224363981155,93.17335879685756,96.10514926317755,93.41669176725335
179,94.72845860817476,93.18753875069982,96.10947990172497,93.41800878865024
180,94.74046572840476,93.20669030990459,96.11259601610234,93.41850929766137
181,94.74546334381736,93.21714847356745,96.11549269049775,93.4189733997497
182,94.76102611148514,93.24877324810069,96.11823391357943,93.41940720456947
183,94.76819541459538,93.25764505656205,96.12139982098553,93.42095281645314
184,94.78187229391109,93.30681366574122,96.12314237821975,93.42191778382472
185,94.78682133683914,93.33198921719787,96.12518575170756,93.42283884347441
186,94.806024892695,93.34284247078084,96.12700096509647,93.42342553313848
187,94.80905568119397,93.35197738334948,96.1303190147005,93.42461338712216
188,94.819668908276,93.37693474781567,96.13317725087012,93.42513287395097
189,94.82338541331977,93.37932484035558,96.13629115068167,93.42572948889594
190,94.83305117615205,93.40245839010007,96.14294773728628,93.42618175618541
191,94.84526658933204,93.4096292181796,96.14840056732511,93.4270466506317
