Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize50//,data//output//runtimePerformance//DECMO//SolutionSetSize100//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO//SolutionSetSize300//,data//output//runtimePerformance//DECMO//SolutionSetSize400//,data//output//runtimePerformance//DECMO//SolutionSetSize500//
55,78.8414988602695,71.79787956209881,39.29629030055693,17.035206176955125,3.1216056155502536,0.986443693653297
56,79.03859081290376,72.45341078479987,41.601340036842565,17.035206176955125,5.636913728684223,0.986443693653297
57,79.20958204177767,73.03924428205694,41.601340036842565,20.77504402256857,5.636913728684223,0.986443693653297
58,79.39521849180827,73.69390004592834,43.80647187959441,20.77504402256857,5.636913728684223,0.986443693653297
59,79.58184418284101,74.25500767969478,43.80647187959441,20.77504402256857,5.636913728684223,0.986443693653297
60,79.75154202463284,74.74304102253572,46.107773891878935,24.207255008862607,8.385017383721106,2.4905418279361453
61,79.90083179839858,75.23637404522056,46.107773891878935,24.207255008862607,8.385017383721106,2.4905418279361453
62,80.04751093770959,75.70929186432579,48.33625041350345,24.207255008862607,8.385017383721106,2.4905418279361453
63,80.20116885955346,76.15142955253387,48.33625041350345,27.591842832769046,8.385017383721106,2.4905418279361453
64,80.34560706186575,76.5673168468283,50.294077386397596,27.591842832769046,11.684344791738159,2.4905418279361453
65,80.48991131879718,76.97557940351824,50.294077386397596,27.591842832769046,11.684344791738159,4.967835805457014
66,80.61676553328485,77.38547306767435,52.241946211079174,31.409414230324188,11.684344791738159,4.967835805457014
67,80.75140847742911,77.79812376777556,52.241946211079174,31.409414230324188,11.684344791738159,4.967835805457014
68,80.90159684244317,78.13659865302739,54.00695782444659,31.409414230324188,15.375189827953623,4.967835805457014
69,81.02711630828011,78.47433116488038,54.00695782444659,34.670395067814006,15.375189827953623,4.967835805457014
70,81.15176587840328,78.77608643898509,55.722258828325565,34.670395067814006,15.375189827953623,7.865933376148612
71,81.2578929947792,79.08202761232494,55.722258828325565,34.670395067814006,15.375189827953623,7.865933376148612
72,81.36023882069802,79.37918286977315,57.145019734067894,37.91387557041108,19.348410543135206,7.865933376148612
73,81.4579111131512,79.66225863466029,57.145019734067894,37.91387557041108,19.348410543135206,7.865933376148612
74,81.56202404888171,79.91463991207885,58.59127193590492,37.91387557041108,19.348410543135206,7.865933376148612
75,81.656800028252,80.15540992160575,58.59127193590492,40.744488352881085,19.348410543135206,11.12548119078802
76,81.7570269006402,80.4225260133043,60.04794141672771,40.744488352881085,23.195871640222588,11.12548119078802
77,81.86112114596196,80.6489633776659,60.04794141672771,40.744488352881085,23.195871640222588,11.12548119078802
78,81.92541313539377,80.88538597863678,61.36419073378762,43.253385148451365,23.195871640222588,11.12548119078802
79,82.02436102437925,81.09360708233363,61.36419073378762,43.253385148451365,23.195871640222588,11.12548119078802
80,82.10851224031153,81.27959053634497,62.51032273244942,43.253385148451365,27.269191765437117,14.981428327249189
81,82.152680259824,81.46658501679948,62.51032273244942,45.83831096942627,27.269191765437117,14.981428327249189
82,82.21987599588903,81.64840898794306,63.91985016624887,45.83831096942627,27.269191765437117,14.981428327249189
83,82.29600281433399,81.84126007787428,63.91985016624887,45.83831096942627,27.269191765437117,14.981428327249189
84,82.38404344525497,82.00674821452867,65.14280281649897,48.17069282056493,31.32176569019272,14.981428327249189
85,82.4577413785106,82.18167661288439,65.14280281649897,48.17069282056493,31.32176569019272,19.38293447687517
86,82.5117480988639,82.34531111817223,66.27359700964111,48.17069282056493,31.32176569019272,19.38293447687517
87,82.59338599388411,82.50540402850703,66.27359700964111,50.18474446225197,31.32176569019272,19.38293447687517
88,82.66381613030413,82.65134051455675,67.28762498495017,50.18474446225197,34.90239226099254,19.38293447687517
89,82.72400008529911,82.7867470536737,67.28762498495017,50.18474446225197,34.90239226099254,19.38293447687517
90,82.8053569578189,82.9296540014034,68.21805382156458,52.29121316930141,34.90239226099254,23.52070247107518
91,82.88230232036847,83.06763383074495,68.21805382156458,52.29121316930141,34.90239226099254,23.52070247107518
92,82.94230420821889,83.1877347935363,69.19128733977561,52.29121316930141,38.30115823615305,23.52070247107518
93,82.98824144258307,83.30059359033,69.19128733977561,54.44780449896487,38.30115823615305,23.52070247107518
94,83.03121568714579,83.41791430912576,70.13667126011644,54.44780449896487,38.30115823615305,23.52070247107518
95,83.08260651488186,83.51897325097976,70.13667126011644,54.44780449896487,38.30115823615305,27.250608150013534
96,83.14984680105977,83.6376083870567,70.9089195574575,56.22832191322213,41.19082588463106,27.250608150013534
97,83.19589470310243,83.75393798862258,70.9089195574575,56.22832191322213,41.19082588463106,27.250608150013534
98,83.2453995293006,83.8565827517913,71.66213983957238,56.22832191322213,41.19082588463106,27.250608150013534
99,83.29382835172017,83.96339480652344,71.66213983957238,57.9839472790079,41.19082588463106,27.250608150013534
100,83.34970878204649,84.05115232886881,72.42517173807983,57.9839472790079,44.36516755202881,31.170193852569806
101,83.39807148019922,84.15695559201691,72.42517173807983,57.9839472790079,44.36516755202881,31.170193852569806
102,83.44772010574523,84.24574729955717,73.15012878738727,59.58355895940692,44.36516755202881,31.170193852569806
103,83.49346331195234,84.33370945757457,73.15012878738727,59.58355895940692,44.36516755202881,31.170193852569806
104,83.54025423327903,84.43118751116289,73.85026088893997,59.58355895940692,47.0401002648758,31.170193852569806
105,83.5825139384534,84.51708300910744,73.85026088893997,61.0713090038182,47.0401002648758,35.212445400001414
106,83.64400210965586,84.61172332792754,74.58845532937367,61.0713090038182,47.0401002648758,35.212445400001414
107,83.70156447609853,84.69336855440358,74.58845532937367,61.0713090038182,47.0401002648758,35.212445400001414
108,83.75436005246138,84.7640151172777,75.15121420677748,62.62864909490846,49.50346709745644,35.212445400001414
109,83.79260739090786,84.83552550862477,75.15121420677748,62.62864909490846,49.50346709745644,35.212445400001414
110,83.83294217177105,84.90733580703827,75.7339411423454,62.62864909490846,49.50346709745644,38.675529467771874
111,83.86870492662828,84.97831517323289,75.7339411423454,63.948469568502354,49.50346709745644,38.675529467771874
112,83.91591775689626,85.04548466467179,76.26581576596585,63.948469568502354,51.89255307934671,38.675529467771874
113,83.95463287338673,85.1286813008269,76.26581576596585,63.948469568502354,51.89255307934671,38.675529467771874
114,83.99162979710452,85.19449950559016,76.7558126482155,65.13025738332578,51.89255307934671,38.675529467771874
115,84.0254819024902,85.24672464470095,76.7558126482155,65.13025738332578,51.89255307934671,41.67063791840672
116,84.05072291359859,85.31296708357932,77.23148977829008,65.13025738332578,53.97548003654401,41.67063791840672
117,84.08467288586665,85.38170028236165,77.23148977829008,66.25065553627253,53.97548003654401,41.67063791840672
118,84.11452334385405,85.44313619639186,77.68926392619389,66.25065553627253,53.97548003654401,41.67063791840672
119,84.14776720662329,85.50224173311,77.68926392619389,66.25065553627253,53.97548003654401,41.67063791840672
120,84.19269628135766,85.5529443270954,78.14059597992208,67.37598679918696,56.161724098947616,44.72941724684294
121,84.24649859636497,85.6234032606768,78.14059597992208,67.37598679918696,56.161724098947616,44.72941724684294
122,84.28995959022849,85.68690885721477,78.61920834778125,67.37598679918696,56.161724098947616,44.72941724684294
123,84.3208997927981,85.7456860958578,78.61920834778125,68.43242197841,56.161724098947616,44.72941724684294
124,84.35766399202075,85.80637185682014,79.05917448915913,68.43242197841,58.069885632069415,44.72941724684294
125,84.37380626887708,85.86122233238396,79.05917448915913,68.43242197841,58.069885632069415,47.76321934031928
126,84.4146027369684,85.92889746679357,79.44656508484661,69.38935612925006,58.069885632069415,47.76321934031928
127,84.44910212875575,85.98569794928419,79.44656508484661,69.38935612925006,58.069885632069415,47.76321934031928
128,84.47257163439785,86.04452565906787,79.8338592697553,69.38935612925006,59.848388252570516,47.76321934031928
129,84.49049079132999,86.09340471922586,79.8338592697553,70.29964066045552,59.848388252570516,47.76321934031928
130,84.51687601438029,86.136968044336,80.18289961870148,70.29964066045552,59.848388252570516,50.421952479476
131,84.55448010219506,86.19348091184425,80.18289961870148,70.29964066045552,59.848388252570516,50.421952479476
