Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize300//,data//output//runtimePerformance//DECMO2//SolutionSetSize300//,data//output//runtimePerformance//DECMO2++//SolutionSetSize300//,data//output//runtimePerformance//SPEA2//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
141,71.3767238088772,77.06961731793218,78.74426180005919,72.9047307930821,35.393875040148984,73.57445739446382,65.86685451046208
142,71.3767238088772,77.06961731793218,78.74426180005919,72.9047307930821,35.393875040148984,73.57445739446382,65.91835980756177
143,71.3767238088772,77.06961731793218,78.74426180005919,72.9047307930821,35.393875040148984,73.57445739446382,65.97182136911114
144,71.92373546998782,77.2807543585534,78.8429579022974,73.3655887242155,37.22070183878766,73.94868460853672,66.02297416558831
145,71.92373546998782,77.2807543585534,78.8429579022974,73.3655887242155,37.22070183878766,73.94868460853672,66.07099572379634
146,71.92373546998782,77.2807543585534,78.8429579022974,73.3655887242155,37.22070183878766,73.94868460853672,66.11438335776776
147,72.48700983808638,77.46123579159578,78.91992822635382,73.79440814853315,38.99541608891784,74.30184162545218,66.15378322902967
148,72.48700983808638,77.46123579159578,78.91992822635382,73.79440814853315,38.99541608891784,74.30184162545218,66.21390793714798
149,72.48700983808638,77.46123579159578,78.91992822635382,73.79440814853315,38.99541608891784,74.30184162545218,66.24626961624786
150,72.91378027657372,77.62906805411305,79.00346518696439,74.20344749160537,40.44696242617312,74.61650754723263,66.28873266494384
151,72.91378027657372,77.62906805411305,79.00346518696439,74.20344749160537,40.44696242617312,74.61650754723263,66.32701371586442
152,72.91378027657372,77.62906805411305,79.00346518696439,74.20344749160537,40.44696242617312,74.61650754723263,66.35830181615898
153,73.33128093052032,77.78705840061582,79.08353112489159,74.58696844894709,42.072794304443484,74.91910133291555,66.39319237078018
154,73.33128093052032,77.78705840061582,79.08353112489159,74.58696844894709,42.072794304443484,74.91910133291555,66.4250969450455
155,73.33128093052032,77.78705840061582,79.08353112489159,74.58696844894709,42.072794304443484,74.91910133291555,66.4605160004564
156,73.74107714750194,77.93175701989773,79.15508542770897,74.93708617978174,43.85649416897813,75.1777715920723,66.49151094085373
157,73.74107714750194,77.93175701989773,79.15508542770897,74.93708617978174,43.85649416897813,75.1777715920723,66.52195840992121
158,73.74107714750194,77.93175701989773,79.15508542770897,74.93708617978174,43.85649416897813,75.1777715920723,66.5683233784106
159,74.1400572482319,78.06721426169152,79.21833559823276,75.22774321685206,45.140814140966285,75.41569068369246,66.60609472872626
160,74.1400572482319,78.06721426169152,79.21833559823276,75.22774321685206,45.140814140966285,75.41569068369246,66.6271871677144
161,74.1400572482319,78.06721426169152,79.21833559823276,75.22774321685206,45.140814140966285,75.41569068369246,66.65818472733467
162,74.48351018059982,78.20779994467875,79.27651753749184,75.50650526408691,46.73791232698022,75.65978843572621,66.6851884173702
163,74.48351018059982,78.20779994467875,79.27651753749184,75.50650526408691,46.73791232698022,75.65978843572621,66.72141530113632
164,74.48351018059982,78.20779994467875,79.27651753749184,75.50650526408691,46.73791232698022,75.65978843572621,66.74927511651192
165,74.7819618653758,78.33415533060719,79.3244099823799,75.75532893737842,48.34521252925823,75.87873622234518,66.79450977328531
166,74.7819618653758,78.33415533060719,79.3244099823799,75.75532893737842,48.34521252925823,75.87873622234518,66.81972413682284
167,74.7819618653758,78.33415533060719,79.3244099823799,75.75532893737842,48.34521252925823,75.87873622234518,66.84945959474831
168,75.09948539445803,78.44958279325309,79.37445985349892,76.02118828828657,49.96001927779501,76.10064910121817,66.87081013824387
169,75.09948539445803,78.44958279325309,79.37445985349892,76.02118828828657,49.96001927779501,76.10064910121817,66.90490818570285
170,75.09948539445803,78.44958279325309,79.37445985349892,76.02118828828657,49.96001927779501,76.10064910121817,66.93321115768038
171,75.39144426580667,78.54706298074015,79.42095236524354,76.25616549883169,51.49153962175244,76.31052212309555,66.97025887170965
172,75.39144426580667,78.54706298074015,79.42095236524354,76.25616549883169,51.49153962175244,76.31052212309555,67.00072867679187
173,75.39144426580667,78.54706298074015,79.42095236524354,76.25616549883169,51.49153962175244,76.31052212309555,67.02785257025128
174,75.64837093354919,78.63024277246255,79.47070182566996,76.47371971897151,52.77924316993873,76.4705251872376,67.05734491240855
175,75.64837093354919,78.63024277246255,79.47070182566996,76.47371971897151,52.77924316993873,76.4705251872376,67.09588065305024
176,75.64837093354919,78.63024277246255,79.47070182566996,76.47371971897151,52.77924316993873,76.4705251872376,67.11495872614161
177,75.89369247133287,78.70700308743012,79.51081478350736,76.679522302995,54.138963713405005,76.64190233795937,67.13370336067987
178,75.89369247133287,78.70700308743012,79.51081478350736,76.679522302995,54.138963713405005,76.64190233795937,67.15982016710196
179,75.89369247133287,78.70700308743012,79.51081478350736,76.679522302995,54.138963713405005,76.64190233795937,67.18490587238009
180,76.12295181450433,78.78387845119256,79.54901045656058,76.87996450671545,55.41106949516369,76.80372388034661,67.20872255289026
181,76.12295181450433,78.78387845119256,79.54901045656058,76.87996450671545,55.41106949516369,76.80372388034661,67.23024485399874
182,76.12295181450433,78.78387845119256,79.54901045656058,76.87996450671545,55.41106949516369,76.80372388034661,67.24505786071367
183,76.3809848938005,78.86033245853103,79.5861669987274,77.0480978999339,56.52036567014741,76.94592107695424,67.26378846605361
184,76.3809848938005,78.86033245853103,79.5861669987274,77.0480978999339,56.52036567014741,76.94592107695424,67.28753036497508
185,76.3809848938005,78.86033245853103,79.5861669987274,77.0480978999339,56.52036567014741,76.94592107695424,67.30667823243478
186,76.60952850116895,78.93157249557112,79.61777033174252,77.21723546142894,57.575580472869305,77.07140610692672,67.32597155329282
187,76.60952850116895,78.93157249557112,79.61777033174252,77.21723546142894,57.575580472869305,77.07140610692672,67.34517865505715
188,76.60952850116895,78.93157249557112,79.61777033174252,77.21723546142894,57.575580472869305,77.07140610692672,67.36374032561832
189,76.79470821977698,78.99558963345319,79.64600018015734,77.36779417528821,58.7792513533714,77.19697021264118,67.38215623958172
190,76.79470821977698,78.99558963345319,79.64600018015734,77.36779417528821,58.7792513533714,77.19697021264118,67.39628283133233
191,76.79470821977698,78.99558963345319,79.64600018015734,77.36779417528821,58.7792513533714,77.19697021264118,67.40764150038471
192,76.96234129866164,79.0586520046781,79.6761083861326,77.49957940109576,60.05066257847535,77.3086061407539,67.42357942104684
193,76.96234129866164,79.0586520046781,79.6761083861326,77.49957940109576,60.05066257847535,77.3086061407539,67.43441621456007
194,76.96234129866164,79.0586520046781,79.6761083861326,77.49957940109576,60.05066257847535,77.3086061407539,67.45232792577642
195,77.12887112387132,79.11405137264344,79.70491886450135,77.66014446378507,60.91447954048878,77.4311325714073,67.46587314141613
196,77.12887112387132,79.11405137264344,79.70491886450135,77.66014446378507,60.91447954048878,77.4311325714073,67.47698111003271
197,77.12887112387132,79.11405137264344,79.70491886450135,77.66014446378507,60.91447954048878,77.4311325714073,67.48968216038327
198,77.29184459668652,79.16352951978756,79.73423992841069,77.77398891103876,61.90421682035067,77.5426960031063,67.50466619744913
199,77.29184459668652,79.16352951978756,79.73423992841069,77.77398891103876,61.90421682035067,77.5426960031063,67.51950843479031
200,77.29184459668652,79.16352951978756,79.73423992841069,77.77398891103876,61.90421682035067,77.5426960031063,67.53179656529825
