Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize50//,data//output//runtimePerformance//NSGA2//SolutionSetSize100//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize300//,data//output//runtimePerformance//NSGA2//SolutionSetSize400//,data//output//runtimePerformance//NSGA2//SolutionSetSize500//
208,77.78906288707066,84.66666876337794,83.48298571015407,76.60642489546095,67.84032508549377,51.440176912679966
209,77.49815389064804,84.76936093975078,83.48298571015407,76.60642489546095,67.84032508549377,51.440176912679966
210,77.26514697499985,84.63948643665005,83.78178178958152,77.28236793229323,67.84032508549377,54.02787538375545
211,77.5203343412177,84.76475300633153,83.78178178958152,77.28236793229323,67.84032508549377,54.02787538375545
212,77.56508248454921,84.72198498271969,83.96524479544796,77.28236793229323,69.20572946899172,54.02787538375545
213,77.18508971362647,84.7810140481605,83.96524479544796,77.79306047215572,69.20572946899172,54.02787538375545
214,77.28703851351848,84.80234804072934,84.137609113841,77.79306047215572,69.20572946899172,54.02787538375545
215,77.55553085427424,84.78592697625945,84.137609113841,77.79306047215572,69.20572946899172,56.41410326893988
216,77.46103599772182,84.90878222170505,84.40762318819571,78.31573959867367,70.56131502966944,56.41410326893988
217,77.54046084999028,85.09651942976792,84.40762318819571,78.31573959867367,70.56131502966944,56.41410326893988
218,77.56349771888092,85.05082871861086,84.55683615986338,78.31573959867367,70.56131502966944,56.41410326893988
219,77.67252901635226,84.98810187561297,84.55683615986338,78.94642100664481,70.56131502966944,56.41410326893988
220,77.84149987532092,84.99832413761624,84.81386121876378,78.94642100664481,71.72153957904288,58.60779267626496
221,77.87215620959205,84.99497430833244,84.81386121876378,78.94642100664481,71.72153957904288,58.60779267626496
222,77.58008690406052,84.91028682464996,84.94564075292142,79.4564230767444,71.72153957904288,58.60779267626496
223,77.27631737794063,84.91284287610138,84.94564075292142,79.4564230767444,71.72153957904288,58.60779267626496
224,77.62979821959699,85.15167620183449,85.20087098636786,79.4564230767444,72.72411917264338,58.60779267626496
225,77.42739982099495,85.16717495876914,85.20087098636786,79.94960888899044,72.72411917264338,60.77250781168798
226,77.1660110823281,85.10517592924175,85.35894891656746,79.94960888899044,72.72411917264338,60.77250781168798
227,77.67328712705104,85.23937333887095,85.35894891656746,79.94960888899044,72.72411917264338,60.77250781168798
228,77.5313826355265,85.29188421908903,85.54622125610751,80.51209133654542,73.63634255471324,60.77250781168798
