Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
85,86.30893103538325,76.20376944113234,39.07301883954318,11.414687467757645,1.1671261057254354,0.18443359543536675
86,86.39423201264842,76.54177134974833,40.55926667504719,11.414687467757645,1.1671261057254354,0.18443359543536675
87,86.47763970530376,76.89581077912021,40.55926667504719,13.405943487499009,1.1671261057254354,0.18443359543536675
88,86.56343129074321,77.26220004042142,42.20641913552393,13.405943487499009,1.9604648701621337,0.18443359543536675
89,86.65675034971497,77.59249972521337,42.20641913552393,13.405943487499009,1.9604648701621337,0.18443359543536675
90,86.7307336723446,77.87122564576495,43.928436408485965,15.296566729397536,1.9604648701621337,0.29052796246640583
91,86.81298769461874,78.16433010170796,43.928436408485965,15.296566729397536,1.9604648701621337,0.29052796246640583
92,86.8814783341217,78.48001347845087,45.62037293114017,15.296566729397536,3.1359356966722087,0.29052796246640583
93,86.95325319078249,78.79343906673708,45.62037293114017,17.45783636302347,3.1359356966722087,0.29052796246640583
94,87.00525674804896,79.07568556087281,47.13566262012098,17.45783636302347,3.1359356966722087,0.29052796246640583
95,87.06669368226636,79.34045270116437,47.13566262012098,17.45783636302347,3.1359356966722087,0.7235245119753356
96,87.13384096298681,79.60141522078534,48.53985312618999,19.823894253190268,4.6693862004352535,0.7235245119753356
97,87.19995142879392,79.85592986491531,48.53985312618999,19.823894253190268,4.6693862004352535,0.7235245119753356
98,87.25959356968865,80.10156811985757,49.95246270507788,19.823894253190268,4.6693862004352535,0.7235245119753356
99,87.32315769882095,80.3336154803003,49.95246270507788,22.23269004924119,4.6693862004352535,0.7235245119753356
100,87.38898724521222,80.55817573129156,51.37677852152375,22.23269004924119,6.761268248019109,1.0536433859124743
101,87.44117236493824,80.75337365833532,51.37677852152375,22.23269004924119,6.761268248019109,1.0536433859124743
102,87.49050247212755,80.95219426337407,52.640691817733995,23.976429039287737,6.761268248019109,1.0536433859124743
103,87.54692825728198,81.18690515615576,52.640691817733995,23.976429039287737,6.761268248019109,1.0536433859124743
104,87.60196471112775,81.4164627894164,53.99548455399822,23.976429039287737,8.544165394652918,1.0536433859124743
105,87.65892255121213,81.6222674540185,53.99548455399822,26.01295758174737,8.544165394652918,1.4633216209419397
106,87.71117880352874,81.79989016881771,55.28060792024221,26.01295758174737,8.544165394652918,1.4633216209419397
107,87.77025458723512,81.98988322291586,55.28060792024221,26.01295758174737,8.544165394652918,1.4633216209419397
108,87.80303549919988,82.1634473543092,56.59349322841153,28.470869583922028,10.480680923588226,1.4633216209419397
109,87.87072066335568,82.3397296110361,56.59349322841153,28.470869583922028,10.480680923588226,1.4633216209419397
110,87.9183971655721,82.51621126818567,57.6684812822993,28.470869583922028,10.480680923588226,2.7795254615177942
111,87.96042399536437,82.68890927671707,57.6684812822993,30.480165593608135,10.480680923588226,2.7795254615177942
112,88.01663607050172,82.85840701281069,58.702935761503724,30.480165593608135,12.646693168444815,2.7795254615177942
113,88.06740809403594,83.0110966534776,58.702935761503724,30.480165593608135,12.646693168444815,2.7795254615177942
114,88.10775617173638,83.16757535031199,59.805142405309795,32.30431684452937,12.646693168444815,2.7795254615177942
115,88.14988393099149,83.32125818006807,59.805142405309795,32.30431684452937,12.646693168444815,4.0875372530267775
116,88.2046516799594,83.48463940866331,60.728314407406714,32.30431684452937,14.665952974605279,4.0875372530267775
117,88.2478865631833,83.64575404436195,60.728314407406714,34.2256750842163,14.665952974605279,4.0875372530267775
118,88.29051272409363,83.78586535906257,61.68327434190747,34.2256750842163,14.665952974605279,4.0875372530267775
119,88.3228289755004,83.9477622227486,61.68327434190747,34.2256750842163,14.665952974605279,4.0875372530267775
120,88.35942636841838,84.06827976373594,62.67249618355875,36.119889996843504,16.97003183470118,5.509421229576858
121,88.41244834419527,84.19703747583821,62.67249618355875,36.119889996843504,16.97003183470118,5.509421229576858
122,88.44463262624119,84.31561371960294,63.54440268873207,36.119889996843504,16.97003183470118,5.509421229576858
123,88.48051471849719,84.45609008636397,63.54440268873207,37.91775075591971,16.97003183470118,5.509421229576858
124,88.5235555633414,84.59797535104312,64.45622490704258,37.91775075591971,19.262243408720266,5.509421229576858
125,88.55807335320107,84.70615305400442,64.45622490704258,37.91775075591971,19.262243408720266,6.796070273206054
126,88.5993064431828,84.82527880940488,65.25621838834051,39.76407902087392,19.262243408720266,6.796070273206054
127,88.63270568477974,84.93398807940156,65.25621838834051,39.76407902087392,19.262243408720266,6.796070273206054
128,88.66272325349442,85.04303114399134,66.02218288839293,39.76407902087392,21.456016630903044,6.796070273206054
129,88.6975678560542,85.1608304407332,66.02218288839293,41.395208735622504,21.456016630903044,6.796070273206054
130,88.73007802594721,85.26995527461511,66.7948101183724,41.395208735622504,21.456016630903044,8.763245752539794
131,88.77027784208698,85.37610282148455,66.7948101183724,41.395208735622504,21.456016630903044,8.763245752539794
132,88.81152732802332,85.4853541224088,67.64934529570884,43.182236941628126,23.58209270698145,8.763245752539794
133,88.8338815491906,85.58171725502635,67.64934529570884,43.182236941628126,23.58209270698145,8.763245752539794
134,88.86101736408366,85.67885857347501,68.43552296194851,43.182236941628126,23.58209270698145,8.763245752539794
135,88.89298700318905,85.76420422507739,68.43552296194851,44.93425951901453,23.58209270698145,11.047736513652863
136,88.92550234885837,85.86724544953987,69.10584878141519,44.93425951901453,25.926512720985283,11.047736513652863
137,88.95999141023144,85.95363757206029,69.10584878141519,44.93425951901453,25.926512720985283,11.047736513652863
138,88.99106351516487,86.03934406661637,69.72801831940859,46.46345739673032,25.926512720985283,11.047736513652863
139,89.00943689100622,86.12746070901156,69.72801831940859,46.46345739673032,25.926512720985283,11.047736513652863
140,89.04421049291092,86.20474355825127,70.38553792915214,46.46345739673032,28.120423073787816,13.377321762484526
141,89.06789616334012,86.29514613933456,70.38553792915214,48.00043204336064,28.120423073787816,13.377321762484526
142,89.10022463972999,86.37842600152936,71.00143998826586,48.00043204336064,28.120423073787816,13.377321762484526
143,89.12318396636927,86.46426618489997,71.00143998826586,48.00043204336064,28.120423073787816,13.377321762484526
144,89.162498188925,86.53678672555232,71.50629768466398,49.44458645339193,30.162041036841142,13.377321762484526
145,89.17949209020566,86.61196785728885,71.50629768466398,49.44458645339193,30.162041036841142,15.42857430269136
146,89.20981282487233,86.69045174619268,72.06074296775928,49.44458645339193,30.162041036841142,15.42857430269136
147,89.2424982638571,86.76661647498688,72.06074296775928,50.91687444717684,30.162041036841142,15.42857430269136
148,89.26515278075244,86.84958972909885,72.6187963939551,50.91687444717684,32.20618428634076,15.42857430269136
149,89.29022628600707,86.91874198142241,72.6187963939551,50.91687444717684,32.20618428634076,15.42857430269136
150,89.31778776235936,86.99364613817121,73.18854365065803,52.383039355460085,32.20618428634076,17.2968102659244
151,89.34079663536119,87.06349822487913,73.18854365065803,52.383039355460085,32.20618428634076,17.2968102659244
152,89.36352179691923,87.13598604497056,73.74754400240109,52.383039355460085,34.06629417467544,17.2968102659244
153,89.39319245770402,87.2099334081472,73.74754400240109,53.708802642194605,34.06629417467544,17.2968102659244
154,89.4207715841142,87.28444735431984,74.19656038181527,53.708802642194605,34.06629417467544,17.2968102659244
