Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
33,55.146465886943005,61.00634221974086,29.678859752568844,33.368582267401614,52.857641244904265,63.88056892946565,68.73040080347906
34,57.509075526181455,63.6775401294311,32.40865309774857,34.90947053700359,55.48388495866355,66.39648553127866,71.00293058828166
35,57.509075526181455,63.6775401294311,32.40865309774857,35.91089892176908,55.48388495866355,66.39648553127866,71.00293058828166
36,60.05535866956072,66.24084392784141,35.11950276337566,36.50544619724004,57.976280165578984,68.70739559916544,72.90145302244544
37,60.05535866956072,66.24084392784141,35.11950276337566,37.626986241124364,57.976280165578984,68.70739559916544,72.90145302244544
38,62.73999234515328,68.6147451856952,37.18909835796166,38.10665175907146,60.1710951502252,70.80228442085091,74.82081661784594
39,62.73999234515328,68.6147451856952,37.18909835796166,39.351997380742276,60.1710951502252,70.80228442085091,74.82081661784594
40,64.91426570338041,70.94284117011541,39.56776617446256,40.41664471414242,62.188075589483724,72.95018677325643,76.52464948605709
41,64.91426570338041,70.94284117011541,39.56776617446256,41.12233506838985,62.188075589483724,72.95018677325643,76.52464948605709
42,67.01742849730566,72.8831400753342,41.543586439522876,41.9910760589923,64.50711009866923,74.7742049109158,78.06792602181265
43,67.01742849730566,72.8831400753342,41.543586439522876,42.76431612027746,64.50711009866923,74.7742049109158,78.06792602181265
44,69.01215799789911,74.68756636982751,43.92189462585334,44.01075794003927,66.42705040146717,76.39499317817342,79.51550267746255
45,69.01215799789911,74.68756636982751,43.92189462585334,44.38966809013887,66.42705040146717,76.39499317817342,79.51550267746255
46,70.99183578305482,76.53992624952612,46.02118789002336,45.266025780667604,68.10332264283515,77.79394713051532,80.95821945056497
47,70.99183578305482,76.53992624952612,46.02118789002336,46.31622507023797,68.10332264283515,77.79394713051532,80.95821945056497
48,72.85441006976326,78.17871207834493,48.174468400711994,47.07693786128951,69.7822569335756,79.26388022421565,82.16704589727475
49,72.85441006976326,78.17871207834493,48.174468400711994,47.61095560141462,69.7822569335756,79.26388022421565,82.16704589727475
50,74.51370301741981,79.81544830635873,50.016613408839426,48.076388232003474,71.23102871131232,80.53979958102185,83.31497273533708
