Comparison stage no.,data//output//runtimePerformance//DECMO2//SolutionSetSize50//,data//output//runtimePerformance//DECMO2//SolutionSetSize100//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize300//,data//output//runtimePerformance//DECMO2//SolutionSetSize400//,data//output//runtimePerformance//DECMO2//SolutionSetSize500//
53,12.443738076265829,16.119941610988185,9.42771617341113,2.6341880309365906,0.7364133909051627,0.26816687043276205
54,12.537904356486983,16.586869555304602,11.179736443681964,3.657424336617515,0.7364133909051627,0.26816687043276205
55,12.815844680965629,16.68189540875411,11.179736443681964,3.657424336617515,0.7364133909051627,0.387782918914605
56,13.322209361975423,17.357092721624852,12.68974928327722,3.657424336617515,1.4524910143176382,0.387782918914605
57,13.534349886381856,17.408510515896463,12.68974928327722,4.721267197392755,1.4524910143176382,0.387782918914605
58,13.866050882339376,17.29976809086028,14.05403038843974,4.721267197392755,1.4524910143176382,0.387782918914605
59,14.149989337251714,17.50162404830101,14.05403038843974,4.721267197392755,1.4524910143176382,0.387782918914605
60,14.528808259136708,17.45129890985152,15.356550356565865,6.1827697365133565,2.285757092393663,0.6573831404639122
61,14.58351070690759,17.537664601595477,15.356550356565865,6.1827697365133565,2.285757092393663,0.6573831404639122
62,14.889022795986905,17.934082424777376,16.684348690345402,6.1827697365133565,2.285757092393663,0.6573831404639122
63,15.04725414213312,17.9472920103135,16.684348690345402,7.4985239722514825,2.285757092393663,0.6573831404639122
64,15.297558425705002,18.243254247584566,17.985925965244768,7.4985239722514825,3.628413661732817,0.6573831404639122
65,15.40686952675904,18.38010013278827,17.985925965244768,7.4985239722514825,3.628413661732817,1.2048666841068585
66,15.551737340154295,18.543044726548175,19.348505758689633,9.137400754090388,3.628413661732817,1.2048666841068585
67,16.135397067361385,18.854285791481253,19.348505758689633,9.137400754090388,3.628413661732817,1.2048666841068585
68,16.26349293723184,19.20212290385834,20.506114946366825,9.137400754090388,4.7088724761194785,1.2048666841068585
69,16.58601615315735,19.419129008582924,20.506114946366825,10.68595052405704,4.7088724761194785,1.2048666841068585
70,16.936915505637707,19.628608047323386,21.765708060643664,10.68595052405704,4.7088724761194785,1.9602279466881818
