Comparison stage no.,data//output//runtimePerformance//DECMO2++//SolutionSetSize50//,data//output//runtimePerformance//DECMO2++//SolutionSetSize100//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize300//,data//output//runtimePerformance//DECMO2++//SolutionSetSize400//,data//output//runtimePerformance//DECMO2++//SolutionSetSize500//
206,82.54599723898875,86.04570500388249,87.20565877415294,85.98082434953422,84.8176124568445,83.71586277000233
207,82.57703781356092,86.07550884992007,87.20565877415294,86.10294788833008,84.8176124568445,83.71586277000233
208,82.60093342042855,86.09877563026974,87.2674652357276,86.10294788833008,84.99870794578507,83.71586277000233
209,82.61723173283633,86.12864334270232,87.2674652357276,86.10294788833008,84.99870794578507,83.71586277000233
210,82.64207502215764,86.15012062194575,87.31928785135257,86.23248018022478,84.99870794578507,83.99863695927232
211,82.66408187249262,86.1733685745945,87.31928785135257,86.23248018022478,84.99870794578507,83.99863695927232
212,82.68306982481076,86.19551520985985,87.38383365837471,86.23248018022478,85.15899631240696,83.99863695927232
213,82.71359914083453,86.2117037493798,87.38383365837471,86.34707407189843,85.15899631240696,83.99863695927232
214,82.73037385841323,86.22946140632192,87.43985506832497,86.34707407189843,85.15899631240696,83.99863695927232
215,82.74124300527612,86.24702463196024,87.43985506832497,86.34707407189843,85.15899631240696,84.2455420956354
216,82.75056397164029,86.26752180235563,87.50322322610265,86.47232629768087,85.32327604376027,84.2455420956354
217,82.77865182921165,86.28082164082232,87.50322322610265,86.47232629768087,85.32327604376027,84.2455420956354
218,82.79764233531496,86.3001595347789,87.56299101357487,86.47232629768087,85.32327604376027,84.2455420956354
219,82.80084774447803,86.31338085264363,87.56299101357487,86.58532917599622,85.32327604376027,84.2455420956354
220,82.81554979471639,86.32492972595662,87.62152184784468,86.58532917599622,85.46622080753578,84.49264173218207
221,82.82075683724861,86.34261120954594,87.62152184784468,86.58532917599622,85.46622080753578,84.49264173218207
222,82.84051007678002,86.35736185600179,87.6728713275881,86.70950810989072,85.46622080753578,84.49264173218207
223,82.85009419557151,86.37654128227871,87.6728713275881,86.70950810989072,85.46622080753578,84.49264173218207
224,82.87250082719622,86.40066969513535,87.7184984048113,86.70950810989072,85.63357637049292,84.49264173218207
225,82.88317577514188,86.41617304227077,87.7184984048113,86.81564189836767,85.63357637049292,84.70824082101393
226,82.88568053677429,86.42910358182782,87.77066281121543,86.81564189836767,85.63357637049292,84.70824082101393
227,82.89413045138194,86.4569255525055,87.77066281121543,86.81564189836767,85.63357637049292,84.70824082101393
