Comparison stage no.,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSizeLitRecom//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize100//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize400//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize500//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize700//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize800//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize900//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize1000//
121,57.563728679682,48.34172397004358,57.80019604322,60.26134172955856,61.401164012607936,61.61103167828856,58.42766379427464,60.97521351189423,63.31856613708118,61.29062025036324,60.581189484994994
122,57.909396794743174,48.4918943958419,58.082037997922065,60.518957046503054,61.64669239276706,61.914230189418284,58.72424664994467,61.26997314485338,63.56753881300649,61.63170890362264,60.88702384209231
123,58.33980003547888,48.62512436415136,58.36774262899812,60.72380625059141,61.87277332355742,62.13583408294024,59.0279661256684,61.54453989371006,63.84553272712349,61.899703498003625,61.1242385885188
124,58.71290067341515,48.84449198196169,58.645807708419426,60.96497461769887,62.09552587716133,62.37942589649372,59.37935182471033,61.838857849666006,64.11643282695947,62.225258142474225,61.42502034030491
125,59.07169746299958,49.079680142230096,58.92635920014756,61.196363325989175,62.38259730928433,62.612381141156995,59.70716650632746,62.118912341190715,64.36181584812867,62.48929438525088,61.72714805043732
126,59.34825747726513,49.239473570295544,59.181256415386315,61.462172959785846,62.622513559430345,62.84316023351938,60.00152004801033,62.37149746806866,64.60296717356891,62.762700418575236,62.00289591329474
127,59.65733672724474,49.45069706261686,59.39098039703471,61.74118943635049,62.862622418997546,63.0822517370615,60.290108708866356,62.59806082326186,64.86252231295236,63.01699816697233,62.24465028205975
128,59.937442561246314,49.558403700321215,59.5571723477439,61.9777714118376,63.08647536255191,63.29642527092918,60.58903744529531,62.8441531562802,65.15010563521199,63.27427846851534,62.49101842717001
129,60.21541537841855,49.68753009674732,59.772559689061325,62.29951631500092,63.27595224865606,63.542620985657486,60.85704113121883,63.09393217781006,65.38640090027258,63.535126070124726,62.77673575912818
130,60.47558117166017,49.81400908928299,59.991631166935875,62.53999535426068,63.51853605214999,63.76330256056423,61.13967723179133,63.348806085911136,65.59900148350246,63.81419936331877,63.04769896594182
131,60.77406069562342,49.96061830099295,60.20460238768961,62.779216632993226,63.76719587934505,63.98611480217385,61.40152948308862,63.57414434146329,65.83273480928814,64.02810698733099,63.291468973284424
132,61.05849912930439,50.047608322402304,60.373584341238654,63.00068413369058,64.00447462040859,64.1933410215114,61.6822847997713,63.83707458561418,66.05677885093326,64.28498393677327,63.544758054956304
133,61.308468223867166,50.298644461108985,60.58918293022916,63.25215437420181,64.2504449608884,64.44112201577452,61.90899451492321,64.0555479652854,66.27519804240703,64.53869628177674,63.79773668643626
134,61.54460526937072,50.491207447644804,60.823399838899114,63.459883324643926,64.45553077665264,64.61509187807414,62.16644230434569,64.27258497735453,66.51232798798952,64.77427229162701,64.08804351497557
135,61.80210412488941,50.68523129485367,60.99396335241817,63.661202606705594,64.65987680732559,64.81367792039507,62.387767806290086,64.55963527920991,66.7520665813977,64.98887477079612,64.3625035418493
136,62.04216124471761,50.79484089703208,61.215971921130084,63.87432083995459,64.8603569693017,65.03440578721356,62.62530172787692,64.79802040078351,66.93934296515592,65.2442543313196,64.60602931134628
137,62.318218396287925,50.95218956015069,61.378044070855886,64.0672782817217,65.06989940663715,65.23558838743149,62.856611806815856,65.05137425632246,67.12508393894156,65.45320148222234,64.84277728312816
138,62.56641706446383,51.085896494529536,61.56645120690419,64.28688435524646,65.29018029175218,65.42374348921126,63.10774324780489,65.25905967867958,67.37114410953735,65.74416360369898,65.04117833993064
139,62.81633364805348,51.23688041843394,61.739958447576626,64.47328567675923,65.5178002966585,65.61274573004135,63.37492683877826,65.41294088584515,67.55216604688002,65.95753950142938,65.27436714557476
140,63.10652237144574,51.375804296805995,61.95286734782134,64.6961708148748,65.69475941818213,65.84235840712083,63.631465112883426,65.62405983521107,67.72741360108284,66.13953833068766,65.48647455675854
141,63.33570570014665,51.522200703916255,62.119356315390576,64.87814724142748,65.90111668870507,66.04368200075123,63.912710765563816,65.86014823097737,67.91647961275868,66.36920597923657,65.70401526063755
142,63.521993623072746,51.68784665582473,62.30233726656128,65.0548608152625,66.09196206389316,66.25089418704042,64.14456111809419,66.0744588610646,68.08021627948946,66.643179365339,65.91133257210454
143,63.725640219663646,51.82773097829404,62.50413988351969,65.24212503701484,66.27110123063676,66.45007423582821,64.39173585353161,66.30594931842111,68.26998937113656,66.86661481742642,66.11617868105812
144,63.935822555142906,51.92657868543493,62.689407266209415,65.41813884861351,66.48152509964936,66.61610818195565,64.63657423286065,66.52458485403093,68.46726990302996,67.07877581825014,66.35228504423132
145,64.16917644484536,52.08025940101968,62.83533540958249,65.60060009647422,66.67108905544197,66.79757946688213,64.88909037588365,66.71192832412004,68.67654350788168,67.29957926784947,66.55161505862465
146,64.3935594371575,52.2553805940966,63.012203991414864,65.7773368503661,66.85364363348324,67.00173158095483,65.11098534107204,66.93484014624624,68.89103732413065,67.4913172033082,66.75248828909616
147,64.63586598649248,52.38657810335277,63.21683411862617,65.95210276805781,67.05336294345217,67.17675652837575,65.33902809301142,67.13326682081781,69.0520427663317,67.69364340769688,66.97834683014169
148,64.83964303060651,52.49454729819972,63.34224477670482,66.13375502484195,67.21705303184709,67.36585291942382,65.50491199968967,67.32196719290619,69.22372484579296,67.8827139733852,67.19626145970497
149,65.05826077146153,52.55339556819513,63.50627364169961,66.3101884443065,67.38630320989604,67.53626438064974,65.7166272321905,67.52043192600699,69.40606225632601,68.07277404231621,67.43608361494596
150,65.26695850330877,52.68912170550667,63.64619335709566,66.46095575463625,67.56261068989313,67.70566222966927,65.94670746604592,67.70997516021187,69.6233374698317,68.27047159033644,67.62263458522666
151,65.46438776330587,52.81860621485882,63.7950622858925,66.64082987188425,67.75814565938948,67.87772534615226,66.13205971314329,67.90086594470743,69.79852784586198,68.42947726453889,67.81027986183366
152,65.67431850408299,52.96814951167741,63.93533251453882,66.81126412917287,67.94605554867186,68.06928179254145,66.34614343413203,68.05873979721545,69.97107443809853,68.58084340853327,67.99021141343852
153,65.90356501002107,53.07303231450216,64.06577868645127,66.97839481146725,68.13893624379506,68.20717405292483,66.54428447105713,68.22152770757535,70.10702810744867,68.7450401925136,68.16547834302736
154,66.12743904241587,53.20323358232194,64.22059434024314,67.09950667320341,68.30280096151832,68.38511101294043,66.70118767836881,68.36843211686426,70.27565092862426,68.9196217037656,68.33347557076553
155,66.34134490661872,53.30680501275336,64.36489914909532,67.2300207209498,68.4671121107505,68.57334989667225,66.91315383061492,68.56022961336599,70.40864295043501,69.10201459120204,68.50066439371705
156,66.50402375986299,53.3697140158861,64.51636415131412,67.36393327207266,68.65919958586358,68.75612219332555,67.09348448986057,68.72636777430513,70.58449521137707,69.26463515067681,68.68057628553872
157,66.69617818853348,53.47497927177846,64.65750394483092,67.51937762780288,68.81528875132915,68.92503208230012,67.27986421690271,68.8850498272808,70.7566059160514,69.42878979713797,68.89452971837494
158,66.88066410228426,53.56951492433297,64.80632415017627,67.669805511374,68.95475196859441,69.10374798221521,67.44746826656448,69.05833554866682,70.91192395526093,69.56750284406051,69.05942624342445
159,67.0965645636197,53.686667412174636,64.95978160983357,67.80874195666664,69.0894611846349,69.28300109054454,67.63922833282342,69.2167020833106,71.06190838957399,69.73543982023867,69.25121881374932
160,67.27220733900654,53.83814889148444,65.06178709715535,67.91902643352847,69.22153565939999,69.43791727507259,67.81180355405164,69.43051458078742,71.16409454999253,69.89488677411546,69.40973649443238
161,67.4595930942432,53.95865751645302,65.18868512986285,68.08956324537384,69.3761632791521,69.60269645382824,67.9783271935691,69.57880571686091,71.28102526401993,70.0406277854958,69.56101857946932
162,67.61595982169193,54.09005057055304,65.30218244731313,68.2157601266098,69.50836044028381,69.7766265612875,68.12830476503039,69.70278263280052,71.41814680332588,70.22011042077736,69.7118077684169
163,67.78220991915013,54.21578743387079,65.41996275122071,68.32727620140099,69.654366054128,69.90202164701267,68.31555292683032,69.84371813895424,71.56903443061113,70.35042689467255,69.8426570316981
164,67.9507907082374,54.33433724844031,65.51824090230151,68.44303057935731,69.77848687427927,70.06523655230792,68.45625498010389,69.98291902407215,71.69261985036482,70.48678743443091,70.0203590707291
165,68.12991392241001,54.41724690521209,65.61500976276133,68.55606029450324,69.9059046076737,70.19991722450088,68.62965375731983,70.1329890859103,71.84575818331561,70.64888940404076,70.21237516209742
166,68.30776328338942,54.53209692176036,65.71007329084205,68.68591511678183,70.02513021817909,70.33047681033683,68.77185845907366,70.27954743530591,71.97072419075005,70.78564606826117,70.3489304745674
