Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
188,78.18330550044828,78.50754842613806,75.07431604569307,68.06174274010073,79.2267840655583,79.82178609302177,79.65552682912978
189,78.18330550044828,78.50754842613806,75.07431604569307,68.07468499620063,79.2267840655583,79.82178609302177,79.65552682912978
190,78.21222231838614,78.5448093061268,75.26356497662967,68.10005195615825,79.26344983133725,79.83212852079089,79.66444773857458
191,78.21222231838614,78.5448093061268,75.26356497662967,68.1214685284601,79.26344983133725,79.83212852079089,79.66444773857458
192,78.24309411036272,78.57334406390812,75.50966596196169,68.13939138649636,79.30104336319447,79.85118343209072,79.67601153596925
193,78.24309411036272,78.57334406390812,75.50966596196169,68.15570857730546,79.30104336319447,79.85118343209072,79.67601153596925
194,78.27081119246938,78.60639322981982,75.67098902463387,68.17854602562677,79.33936226000154,79.86809621311289,79.68469397307986
195,78.27081119246938,78.60639322981982,75.67098902463387,68.19562865571615,79.33936226000154,79.86809621311289,79.68469397307986
196,78.29778838900972,78.63336493255576,75.82281218910438,68.21936208488079,79.3713712621544,79.88637165100752,79.69472191348775
197,78.29778838900972,78.63336493255576,75.82281218910438,68.23538006422504,79.3713712621544,79.88637165100752,79.69472191348775
198,78.32759475589246,78.66404967026472,75.95656088673725,68.25518404931748,79.40527968234728,79.90139044111325,79.70300046536575
199,78.32759475589246,78.66404967026472,75.95656088673725,68.26830609557148,79.40527968234728,79.90139044111325,79.70300046536575
200,78.34790146975742,78.69403380462022,76.16442893227894,68.27913953204347,79.43326173956179,79.9154150248709,79.712017573772
201,78.34790146975742,78.69403380462022,76.16442893227894,68.29690185754453,79.43326173956179,79.9154150248709,79.712017573772
