Comparison stage no.,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize300//
441,98.48839986173178,96.83191559407737
442,98.48857469375763,96.83201011627017
443,98.48876859086965,96.83210295686743
444,98.48894367990802,96.83219121220681
445,98.48910114701599,96.83229110963147
446,98.4892686290784,96.83238493177686
447,98.48942952433616,96.83247324112277
448,98.48958441712946,96.83256477086475
449,98.48974684532017,96.83266923647493
450,98.48991091242455,96.83275984181262
451,98.4900755243973,96.8328484096771
452,98.49023984294577,96.83293836212046
453,98.49041130068768,96.83302359615595
454,98.49058268128304,96.83311353408574
455,98.49074013086981,96.83320120624802
456,98.4908903360431,96.8332869106498
457,98.4910364735905,96.83337005003129
458,98.49121030295191,96.83346108911267
459,98.49134938200712,96.83354602281757
460,98.49150907233508,96.83363117272214
461,98.49166773039067,96.83375339311175
462,98.49183451729259,96.83384016507716
463,98.4919980562884,96.83392793464024
464,98.49214911140437,96.83401525598421
465,98.49230133474302,96.83409443927377
466,98.49245636381147,96.8341713263662
467,98.49259920407361,96.834254070686
468,98.49274711774511,96.83433953177033
469,98.49289045988114,96.83442051831791
470,98.49303048762508,96.83450756636458
471,98.49317221642569,96.83459480372896
472,98.49331262900172,96.8346699708271
473,98.49346807496407,96.83474976354734
474,98.4936644509388,96.83482666344412
475,98.49382552681868,96.83491594040967
476,98.49396916964952,96.83499449414315
477,98.49411374155369,96.83508156018759
478,98.49425495545458,96.83515634079428
479,98.49440298727257,96.83524343437807
480,98.49452985875661,96.8353198931948
481,98.49467886542686,96.83540403312243
482,98.4948244217362,96.83548223260593
483,98.49496607399952,96.83556117461733
484,98.49510852334993,96.83563717432551
485,98.49525236305902,96.83571329222298
486,98.49542921483427,96.83578975194196
487,98.49557599301079,96.83587267333851
488,98.49570352771684,96.83595139555133
489,98.49584900926584,96.8360249923212
490,98.4959864909071,96.8361021437714
491,98.49612606824391,96.83618738904924
492,98.49626259251477,96.83626234313985
493,98.49640181111776,96.83634500988572
494,98.49653500738478,96.83642908746906
495,98.49668409706774,96.83649660087126
496,98.49682139258765,96.83656466310728
497,98.49694310035657,96.83663625647789
498,98.49709163991464,96.83671160789378
499,98.49721753275468,96.83677909338013
