Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
237,98.17807724893467,98.75135464415438,99.55078683818766,37.28223211390211,99.19578777874841,99.64115455453208,99.64045877877918
238,98.22393314119736,98.77808692264438,99.5588618836515,37.71170954845508,99.21126448688672,99.64314143419871,99.64332967045225
239,98.22393314119736,98.77808692264438,99.5588618836515,38.0108320901987,99.21126448688672,99.64314143419871,99.64332967045225
240,98.26500280323835,98.80061739981889,99.56658763621277,38.325000820961534,99.22287675145586,99.64574548742844,99.64624946275576
241,98.26500280323835,98.80061739981889,99.56658763621277,38.69659767609411,99.22287675145586,99.64574548742844,99.64624946275576
242,98.30497995920419,98.8211816617241,99.57412982457008,39.05671532807025,99.23833439081848,99.64780853557296,99.64906142684912
243,98.30497995920419,98.8211816617241,99.57412982457008,39.50539911112757,99.23833439081848,99.64780853557296,99.64906142684912
244,98.34591948292845,98.84052580622838,99.5810052201599,39.90113865162559,99.25284795578767,99.64965136479734,99.65182750822493
245,98.34591948292845,98.84052580622838,99.5810052201599,40.330474499612464,99.25284795578767,99.64965136479734,99.65182750822493
246,98.38336216254181,98.86377895612124,99.58720426035708,40.70534011698884,99.2673118978211,99.65127159057782,99.65410454308379
247,98.38336216254181,98.86377895612124,99.58720426035708,41.02321677657704,99.2673118978211,99.65127159057782,99.65410454308379
248,98.42125425847357,98.88342360745291,99.5938190857043,41.41764810456705,99.2807761039828,99.65335007355996,99.65612179429941
249,98.42125425847357,98.88342360745291,99.5938190857043,41.82472238269261,99.2807761039828,99.65335007355996,99.65612179429941
250,98.45361121799924,98.9038172250678,99.5997836201155,42.22657116389698,99.29229567494448,99.65476020440173,99.65777737164717
251,98.45361121799924,98.9038172250678,99.5997836201155,42.60103713141251,99.29229567494448,99.65476020440173,99.65777737164717
252,98.48662923234608,98.9183472734524,99.60551863238277,42.98044428746487,99.30590470082751,99.65669373444332,99.65919990856621
253,98.48662923234608,98.9183472734524,99.60551863238277,43.398319119885834,99.30590470082751,99.65669373444332,99.65919990856621
254,98.51870410117945,98.93786720108716,99.61105605771468,43.80274377014449,99.31716396321247,99.65812018880777,99.66067402650926
255,98.51870410117945,98.93786720108716,99.61105605771468,44.143521199862924,99.31716396321247,99.65812018880777,99.66067402650926
256,98.55045448828236,98.95664063786273,99.61595872453042,44.57323018161993,99.32777809071021,99.65991224050009,99.6624995618643
257,98.55045448828236,98.95664063786273,99.61595872453042,44.938271553679876,99.32777809071021,99.65991224050009,99.6624995618643
258,98.58061499725365,98.97038145299814,99.62090361383308,45.34276322106765,99.33798545271236,99.66141885491481,99.66396654263228
259,98.58061499725365,98.97038145299814,99.62090361383308,45.68832430510783,99.33798545271236,99.66141885491481,99.66396654263228
260,98.60744028845853,98.98668152807656,99.62554833276616,46.06495678006874,99.3431253964062,99.6628147983379,99.66544179736803
261,98.60744028845853,98.98668152807656,99.62554833276616,46.4371480827569,99.3431253964062,99.6628147983379,99.66544179736803
262,98.63359196859277,99.00406341901746,99.62979646535415,46.808795219454744,99.3537762994975,99.66446344182332,99.66682737496015
263,98.63359196859277,99.00406341901746,99.62979646535415,47.18111707532892,99.3537762994975,99.66446344182332,99.66682737496015
264,98.66189245018076,99.02086413067295,99.63402172214884,47.52707274173654,99.36333499427653,99.66616606846424,99.66829883452515
265,98.66189245018076,99.02086413067295,99.63402172214884,47.86958375458729,99.36333499427653,99.66616606846424,99.66829883452515
266,98.68861111556443,99.0356931345539,99.63786418292995,48.212226108542836,99.37348545694638,99.66744061679782,99.66946584748055
267,98.68861111556443,99.0356931345539,99.63786418292995,48.6602254168881,99.37348545694638,99.66744061679782,99.66946584748055
268,98.71375974101579,99.05084132063973,99.64173324889774,49.0459009486007,99.38208437325608,99.668494879246,99.67042151375597
