Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
280,97.30289346022268,98.75444313784793,99.29667141006497,98.11985318510635,91.31754887745083,76.91215355016081
281,97.30237295952075,98.75432908422913,99.29667141006497,98.11985318510635,91.31754887745083,76.91215355016081
282,97.3031209865857,98.75442807934229,99.30329817647187,98.22459507435049,91.31754887745083,76.91215355016081
283,97.30368904126348,98.7545603478395,99.30329817647187,98.22459507435049,91.31754887745083,76.91215355016081
284,97.3039220801089,98.7550359963432,99.30957427811776,98.22459507435049,91.92059891320204,76.91215355016081
285,97.29924617183148,98.75497117675667,99.30957427811776,98.32030791673736,91.92059891320204,78.49913589889232
286,97.29610795312782,98.75458100055519,99.31613262451495,98.32030791673736,91.92059891320204,78.49913589889232
287,97.29576857594246,98.75475749077302,99.31613262451495,98.32030791673736,91.92059891320204,78.49913589889232
288,97.29822342123197,98.75428811543591,99.32225714595782,98.40689149782087,92.49484314606642,78.49913589889232
289,97.29816297635129,98.75437193628274,99.32225714595782,98.40689149782087,92.49484314606642,78.49913589889232
290,97.29898759327129,98.7537555865367,99.32791183185691,98.40689149782087,92.49484314606642,79.93573207737666
291,97.29860432367089,98.75372904921826,99.32791183185691,98.49176132030428,92.49484314606642,79.93573207737666
292,97.29654266118969,98.75375099578936,99.33283127470818,98.49176132030428,93.02999382671909,79.93573207737666
293,97.2973520527066,98.75381058476016,99.33283127470818,98.49176132030428,93.02999382671909,79.93573207737666
294,97.29631599354302,98.75350249689399,99.33806263192157,98.56724126453055,93.02999382671909,79.93573207737666
295,97.29722240429152,98.75351721492005,99.33806263192157,98.56724126453055,93.02999382671909,81.34261669065792
296,97.2994641959422,98.75333752441178,99.34293362733831,98.56724126453055,93.53208408431502,81.34261669065792
297,97.29931292170372,98.75362041186419,99.34293362733831,98.63556589293694,93.53208408431502,81.34261669065792
298,97.29464079427515,98.75357694223315,99.34768064421287,98.63556589293694,93.53208408431502,81.34261669065792
299,97.29522056540596,98.75341723478645,99.34768064421287,98.63556589293694,93.53208408431502,81.34261669065792
300,97.29553143030584,98.75360548903312,99.35190134998317,98.69943201356011,93.99676994425624,82.6167324364828
301,97.29361072612474,98.75350364364546,99.35190134998317,98.69943201356011,93.99676994425624,82.6167324364828
302,97.29113405845968,98.75379061745106,99.35614417719088,98.69943201356011,93.99676994425624,82.6167324364828
303,97.29247465359819,98.75367371459579,99.35614417719088,98.75724066567318,93.99676994425624,82.6167324364828
